"","Fiscalyear","Ccode","Dcode","RegularADA","SpecialEdADA","ROCPADA","AdultEdADA","K12ADA","K12ADA_C"
"1",2003,1,10017,0,0,0,0,0,NA
"2",2003,1,40402,0,0,0,0,0,NA
"3",2003,1,40410,0,0,0,0,0,NA
"4",2003,1,40428,0,0,0,0,0,NA
"5",2003,1,40501,0,0,0,0,0,NA
"6",2003,1,40733,0,0,0,0,0,NA
"7",2003,1,61119,9784.18,379.2,357.11,594.95,10163.38,NA
"8",2003,1,61127,3140.15,86.9,0,157.87,3227.05,3279.03
"9",2003,1,61143,7951.32,231.85,0,1897.99,8183.17,8310.94
"10",2003,1,61150,7850.39,158.67,217.83,948.8,8009.06,8212.52
"11",2003,1,61168,725.83,32.77,0,0,758.6,767.65
"12",2003,1,61176,29529.27,951.01,1278.97,1829.15,30480.28,31067.93
"13",2003,1,61192,21804.78,711.51,1252.78,3213.21,22516.29,22815.82
"14",2003,1,61200,13175.46,426.62,247.16,275.94,13602.08,13937.08
"15",2003,1,61218,45.23,0,0,0,45.23,46.62
"16",2003,1,61234,6906.73,161.75,415.02,141.27,7068.48,7253.75
"17",2003,1,61242,12342.68,439.4,383.69,432.05,12782.08,13193.23
"18",2003,1,61259,42173.26,1821.84,492.29,5103.13,43995.1,45015.75
"19",2003,1,61275,2525.09,14.86,0,221.39,2539.95,2542.33
"20",2003,1,61291,8032.95,215.92,273.13,498.51,8248.87,8495.05
"21",2003,1,61309,10525.59,221.83,365.48,646.93,10747.42,10934.97
"22",2003,1,75093,4183.14,88.68,133.78,47.59,4271.82,4337.04
"23",2003,1,75101,13319.58,294.16,414.7,603.19,13613.74,13883.13
"24",2003,1,75119,196.77,0,0,0,196.77,199.81
"25",2003,2,10025,0,0,0,0,0,NA
"26",2003,2,61333,135.06,1.24,0,0,136.3,140.01
"27",2003,3,10033,0,0,0,0,0,NA
"28",2003,3,73981,4282.68,10.5,0,70.71,4293.18,4351.87
"29",2003,4,10041,0,0,0,0,0,NA
"30",2003,4,61382,146.87,0,0,0,146.87,148.95
"31",2003,4,61408,748.65,0.16,0,0,748.81,779.72
"32",2003,4,61424,12563.52,368.66,0,0,12932.18,13177.08
"33",2003,4,61432,1163.52,30.33,0,0,1193.85,1213.64
"34",2003,4,61440,34.34,0,0,0,34.34,34.34
"35",2003,4,61457,154.82,0,0,0,154.82,157.17
"36",2003,4,61499,246.06,0,0,0,246.06,254.46
"37",2003,4,61507,2904.97,86.95,0,0,2991.92,3038.56
"38",2003,4,61515,2336.51,143.07,0,561.79,2479.58,2550.6
"39",2003,4,61523,1206.2,38.04,0,0,1244.24,1258.72
"40",2003,4,61531,4748.16,151.29,0,25.71,4899.45,4995.73
"41",2003,4,61549,1368.74,41.91,0,0,1410.65,1472.37
"42",2003,4,73379,108.36,0,0,0,108.36,122.83
"43",2003,4,75507,1938.84,27.58,0,10.4,1966.42,1984.38
"44",2003,5,10058,0,0,0,0,0,NA
"45",2003,5,40865,0,0,0,0,0,NA
"46",2003,5,61556,837.31,44.85,0,0,882.16,893.45
"47",2003,5,61564,3341.72,124.49,0,0,3466.21,3487.61
"48",2003,5,61572,735.27,8.1,0,0,743.37,749.78
"49",2003,5,61580,860.85,20.98,0,0,881.83,895.74
"50",2003,6,10066,0,0,0,0,0,NA
"51",2003,6,61598,1392.67,0,0,0,1392.67,1440.95
"52",2003,6,61606,427.19,0,0,0,427.19,452.7
"53",2003,6,61614,1181.74,0,0,0,1181.74,1215.32
"54",2003,6,61622,987.96,0,0,0,987.96,1031.53
"55",2003,7,10074,0,0,0,0,0,NA
"56",2003,7,40782,0,0,0,0,0,NA
"57",2003,7,61630,5496.22,36.74,0,565.1,5532.96,5631.37
"58",2003,7,61648,19255.09,744.69,0,186.07,19999.78,20390.94
"59",2003,7,61655,5640.44,110.04,0,0,5750.48,5841.43
"60",2003,7,61663,1247.77,28.15,0,0,1275.92,1384.73
"61",2003,7,61671,61.21,0,0,0,61.21,62.02
"62",2003,7,61697,1602.45,81.19,0,0,1683.64,1710.42
"63",2003,7,61705,440.84,0.83,0,0,441.67,448.13
"64",2003,7,61713,3265.29,47.28,0,0,3312.57,3329.2
"65",2003,7,61721,4228.18,121.6,0,301.97,4349.78,4441.36
"66",2003,7,61739,3940.46,137.51,0,1251.41,4077.97,4185.8
"67",2003,7,61747,1795.13,11.68,0,0,1806.81,1807.1
"68",2003,7,61754,33232.25,1439.89,0,2320.08,34672.14,35550.47
"69",2003,7,61762,4193.43,86.71,0,0,4280.14,4377.42
"70",2003,7,61770,2336.39,8.37,0,0,2344.76,2360.26
"71",2003,7,61788,8487.4,361.89,0,944.8,8849.29,9254.57
"72",2003,7,61796,29581.82,1611.98,0,1245.68,31193.8,31719.69
"73",2003,7,61804,21013.49,277.58,0,11.62,21291.07,21537.9
"74",2003,7,61812,3201.57,28.15,0,0,3229.72,3254.35
"75",2003,8,10082,0,0,0,0,0,NA
"76",2003,8,61820,3629.56,116.74,0,5.52,3746.3,3911.93
"77",2003,9,10090,0,0,0,0,0,NA
"78",2003,9,40287,0,0,0,0,0,NA
"79",2003,9,61838,4096.88,59.53,0,0,4156.41,4177.65
"80",2003,9,61846,497.09,0,0,0,497.09,510.14
"81",2003,9,61853,6389.74,97.68,470.08,182.11,6487.42,6724.81
"82",2003,9,61879,698.02,1.13,0,0,699.15,708.09
"83",2003,9,61887,579.75,5.95,0,0,585.7,598.48
"84",2003,9,61895,38.5,0,0,0,38.5,40.24
"85",2003,9,61903,4581.79,126.76,153.02,0,4708.55,4924.59
"86",2003,9,61911,190.95,0,0,0,190.95,194.46
"87",2003,9,61929,1514.13,24.02,0,0,1538.15,1569.89
"88",2003,9,61945,431.46,22.63,0,0,454.09,462.31
"89",2003,9,61952,1190,22.12,0,0,1212.12,1242.09
"90",2003,9,61960,772.4,0.87,0,0,773.27,791.97
"91",2003,9,61978,3403.75,29.19,0,0,3432.94,3470.91
"92",2003,9,61986,9.89,0,0,0,9.89,10.33
"93",2003,9,73783,1862.26,48.29,60.51,0,1910.55,1948.34
