,factor,element,year,estimate,conf.low,conf.high,y_label
267,Employee Benefits,tau50,2003,-1.201254319,-3.766646654,1.364138015,% Novice teachers
268,Employee Benefits,tau50,2004,1.079072293,-1.603424173,3.761568758,% Novice teachers
269,Employee Benefits,tau50,2005,2.140590288,-0.565398617,4.846579193,% Novice teachers
270,Employee Benefits,tau50,2006,0.683558373,-1.967971347,3.335088093,% Novice teachers
271,Employee Benefits,tau50,2007,2.696927573,0.006630495,5.38722465,% Novice teachers
272,Employee Benefits,tau50,2008,-0.488663966,-3.19180309,2.214475158,% Novice teachers
273,Employee Benefits,tau50,2009,0.029167449,-2.250036138,2.308371036,% Novice teachers
274,Employee Benefits,tau50,2010,0.622492047,-2.107281077,3.352265172,% Novice teachers
275,Employee Benefits,tau50,2011,-0.251022067,-2.951696587,2.449652454,% Novice teachers
276,Employee Benefits,tau50,2012,0,0,0,% Novice teachers
277,Employee Benefits,tau50,2013,1.402874589,-1.17248927,3.978238448,% Novice teachers
278,Employee Benefits,tau50,2014,0.008923499,-2.281576033,2.299423032,% Novice teachers
279,Employee Benefits,tau50,2015,4.286906197,1.308378535,7.26543386,% Novice teachers
280,Employee Benefits,tau50,2016,6.004703615,3.135204414,8.874202815,% Novice teachers
