,factor,element,year,estimate,conf.low,conf.high,y_label
113,Student Spending,tau20,2003,2.901274288,-3.660223434,9.462772009,% White teachers
114,Student Spending,tau20,2004,0.737821242,-5.955106603,7.430749088,% White teachers
115,Student Spending,tau20,2005,2.824884043,-3.988224502,9.637992588,% White teachers
116,Student Spending,tau20,2006,3.090016582,-3.668492228,9.848525392,% White teachers
117,Student Spending,tau20,2007,3.676468937,-3.218454664,10.57139254,% White teachers
118,Student Spending,tau20,2008,3.933809855,-2.897261664,10.76488137,% White teachers
119,Student Spending,tau20,2009,-2.275723697,-7.474237915,2.922790521,% White teachers
120,Student Spending,tau20,2010,1.301760465,-3.612038194,6.215559124,% White teachers
121,Student Spending,tau20,2011,0.527279241,-4.361157397,5.415715879,% White teachers
122,Student Spending,tau20,2012,0,0,0,% White teachers
123,Student Spending,tau20,2013,6.300540632,0.084814199,12.51626707,% White teachers
124,Student Spending,tau20,2014,3.780139142,-1.172424001,8.732702286,% White teachers
125,Student Spending,tau20,2015,11.2422726,4.717521058,17.76702414,% White teachers
126,Student Spending,tau20,2016,10.5123973,4.280317293,16.74447731,% White teachers
127,Student Spending,tau50,2003,1.516528272,-4.362646163,7.395702706,% White teachers
128,Student Spending,tau50,2004,-0.304523898,-6.301461174,5.692413379,% White teachers
129,Student Spending,tau50,2005,1.338253851,-4.76636666,7.442874362,% White teachers
130,Student Spending,tau50,2006,1.51004451,-4.545654035,7.565743056,% White teachers
131,Student Spending,tau50,2007,1.930097413,-4.247830292,8.108025117,% White teachers
132,Student Spending,tau50,2008,2.341587311,-3.779128223,8.462302845,% White teachers
133,Student Spending,tau50,2009,-2.123353396,-6.781279556,2.534572764,% White teachers
134,Student Spending,tau50,2010,0.666068142,-3.736749732,5.068886017,% White teachers
135,Student Spending,tau50,2011,-0.198098913,-4.578192137,4.181994311,% White teachers
136,Student Spending,tau50,2012,0,0,0,% White teachers
137,Student Spending,tau50,2013,3.505853227,-2.063506314,9.075212768,% White teachers
138,Student Spending,tau50,2014,3.149113276,-1.288438004,7.586664557,% White teachers
139,Student Spending,tau50,2015,8.306824648,2.460575198,14.1530741,% White teachers
140,Student Spending,tau50,2016,7.194596175,1.61058365,12.7786087,% White teachers
141,Student Spending,tau80,2003,0.107630449,-5.250534958,5.465795855,% White teachers
142,Student Spending,tau80,2004,-1.391353635,-6.856845809,4.074138539,% White teachers
143,Student Spending,tau80,2005,0.207889953,-5.355742629,5.771522536,% White teachers
144,Student Spending,tau80,2006,0.48982569,-5.029220363,6.008871744,% White teachers
145,Student Spending,tau80,2007,0.546268829,-5.084174506,6.176712164,% White teachers
146,Student Spending,tau80,2008,0.907943234,-4.670358039,6.486244508,% White teachers
147,Student Spending,tau80,2009,-1.68356606,-5.928709506,2.561577385,% White teachers
148,Student Spending,tau80,2010,0.163333812,-3.849308897,4.17597652,% White teachers
149,Student Spending,tau80,2011,-0.658340587,-4.65027249,3.333591316,% White teachers
150,Student Spending,tau80,2012,0,0,0,% White teachers
151,Student Spending,tau80,2013,0.91908435,-4.156721779,5.994890479,% White teachers
152,Student Spending,tau80,2014,2.284428282,-1.759869778,6.328726342,% White teachers
153,Student Spending,tau80,2015,5.146064281,-0.182093933,10.4742225,% White teachers
154,Student Spending,tau80,2016,3.820592779,-1.268567795,8.909753353,% White teachers
