,factor,element,year,estimate,conf.low,conf.high,y_label
170,Salaries,tau50,2003,-0.011280836,-2.357720169,2.335158497,% Long-term substitutes/temporary employees
171,Salaries,tau50,2004,-0.214497179,-2.623092832,2.194098473,% Long-term substitutes/temporary employees
172,Salaries,tau50,2005,0.536959419,-1.906189111,2.980107949,% Long-term substitutes/temporary employees
173,Salaries,tau50,2006,-0.247157231,-2.668299243,2.173984782,% Long-term substitutes/temporary employees
174,Salaries,tau50,2007,0.1708364,-2.28280675,2.62447955,% Long-term substitutes/temporary employees
175,Salaries,tau50,2008,-0.203720135,-2.646400492,2.238960221,% Long-term substitutes/temporary employees
176,Salaries,tau50,2009,1.350869263,-0.436884958,3.138623484,% Long-term substitutes/temporary employees
177,Salaries,tau50,2010,0.624609822,-1.059231819,2.308451463,% Long-term substitutes/temporary employees
178,Salaries,tau50,2012,0,0,0,% Long-term substitutes/temporary employees
179,Salaries,tau50,2013,4.271616809,2.099264756,6.443968863,% Long-term substitutes/temporary employees
180,Salaries,tau50,2014,2.613360211,0.88975871,4.336961713,% Long-term substitutes/temporary employees
181,Salaries,tau50,2015,0.851865211,-1.448458957,3.152189378,% Long-term substitutes/temporary employees
182,Salaries,tau50,2016,-0.057955432,-2.26346813,2.147557267,% Long-term substitutes/temporary employees
