,factor,element,year,estimate,conf.low,conf.high,y_label
127,Student Spending,tau50,2003,1.647815471,-5.715956198,9.01158714,% Probationary teachers
128,Student Spending,tau50,2004,0.171820466,-7.33945128,7.683092212,% Probationary teachers
129,Student Spending,tau50,2005,1.873933458,-5.772213475,9.520080391,% Probationary teachers
130,Student Spending,tau50,2006,4.529599883,-3.055271408,12.11447117,% Probationary teachers
131,Student Spending,tau50,2007,3.783376074,-3.954589436,11.52134158,% Probationary teachers
132,Student Spending,tau50,2008,3.738477271,-3.927828967,11.40478351,% Probationary teachers
133,Student Spending,tau50,2009,-0.672665072,-6.506801323,5.161471179,% Probationary teachers
134,Student Spending,tau50,2010,1.982217899,-3.532390637,7.496826436,% Probationary teachers
135,Student Spending,tau50,2011,0.494226575,-4.991918929,5.980372078,% Probationary teachers
136,Student Spending,tau50,2012,0,0,0,% Probationary teachers
137,Student Spending,tau50,2013,10.23300494,3.257281992,17.20872788,% Probationary teachers
138,Student Spending,tau50,2014,-0.078950466,-5.637063218,5.479162287,% Probationary teachers
139,Student Spending,tau50,2015,14.1400385,6.817505968,21.46257103,% Probationary teachers
140,Student Spending,tau50,2016,17.47598065,10.48190458,24.47005672,% Probationary teachers
