,factor,element,year,estimate,conf.low,conf.high,y_label
378,Certificated Teachers,tau50,2003,-1.78916177,-4.291904415,0.713580876,Elementary school - Homeroom class
379,Certificated Teachers,tau50,2004,-0.50871928,-3.065438706,2.048000146,Elementary school - Homeroom class
380,Certificated Teachers,tau50,2005,0.152420329,-2.460265641,2.765106299,Elementary school - Homeroom class
381,Certificated Teachers,tau50,2006,-0.25166014,-2.86862244,2.365302159,Elementary school - Homeroom class
382,Certificated Teachers,tau50,2007,-0.400299671,-3.029083354,2.228484012,Elementary school - Homeroom class
383,Certificated Teachers,tau50,2008,0.090672973,-2.493370539,2.674716484,Elementary school - Homeroom class
384,Certificated Teachers,tau50,2010,-0.108121864,-1.902497834,1.686254106,Elementary school - Homeroom class
385,Certificated Teachers,tau50,2011,-0.180677522,-1.93270086,1.571345816,Elementary school - Homeroom class
386,Certificated Teachers,tau50,2012,0,0,0,Elementary school - Homeroom class
387,Certificated Teachers,tau50,2013,-5.938081526,-8.373890089,-3.502272964,Elementary school - Homeroom class
388,Certificated Teachers,tau50,2014,0.158519677,-1.650786175,1.96782553,Elementary school - Homeroom class
389,Certificated Teachers,tau50,2015,-3.983490371,-6.42672415,-1.540256593,Elementary school - Homeroom class
390,Certificated Teachers,tau50,2016,-4.152295614,-6.464601924,-1.839989303,Elementary school - Homeroom class
