,factor,element,year,estimate,conf.low,conf.high,y_label
378,Certificated Teachers,tau50,2003,-0.081226021,-0.376546771,0.214094728,Elementary school - Self-contained class
379,Certificated Teachers,tau50,2004,-0.153431839,-0.455121793,0.148258114,Elementary school - Self-contained class
380,Certificated Teachers,tau50,2005,-0.141645828,-0.44993977,0.166648113,Elementary school - Self-contained class
381,Certificated Teachers,tau50,2006,-0.170914572,-0.479713116,0.137883972,Elementary school - Self-contained class
382,Certificated Teachers,tau50,2007,-0.222907843,-0.533101297,0.087285611,Elementary school - Self-contained class
383,Certificated Teachers,tau50,2008,-0.193537397,-0.498451562,0.111376769,Elementary school - Self-contained class
384,Certificated Teachers,tau50,2010,-0.054926213,-0.266660512,0.156808086,Elementary school - Self-contained class
385,Certificated Teachers,tau50,2011,0.132087891,-0.074648847,0.33882463,Elementary school - Self-contained class
386,Certificated Teachers,tau50,2012,0,0,0,Elementary school - Self-contained class
387,Certificated Teachers,tau50,2013,-0.008628484,-0.296051097,0.27879413,Elementary school - Self-contained class
388,Certificated Teachers,tau50,2014,-0.10889231,-0.322388332,0.104603713,Elementary school - Self-contained class
389,Certificated Teachers,tau50,2015,-0.074463268,-0.362762048,0.213835513,Elementary school - Self-contained class
390,Certificated Teachers,tau50,2016,0.004977424,-0.267910187,0.277865036,Elementary school - Self-contained class
