,factor,element,year,estimate,conf.low,conf.high,y_label
222,Employee Benefits,tau50,2003,0.363421141,-1.854338613,2.581180896,% AP classes (ELA)
223,Employee Benefits,tau50,2004,2.268847041,-0.019768262,4.557462345,% AP classes (ELA)
224,Employee Benefits,tau50,2005,-0.505509854,-2.800482164,1.789462456,% AP classes (ELA)
225,Employee Benefits,tau50,2006,-0.617681076,-2.846542331,1.61118018,% AP classes (ELA)
226,Employee Benefits,tau50,2007,-0.562333259,-2.830245211,1.705578692,% AP classes (ELA)
227,Employee Benefits,tau50,2008,-0.815916389,-3.073614835,1.441782056,% AP classes (ELA)
228,Employee Benefits,tau50,2010,1.784723819,-0.52183576,4.091283399,% AP classes (ELA)
229,Employee Benefits,tau50,2011,-1.357139476,-3.694344837,0.980065884,% AP classes (ELA)
230,Employee Benefits,tau50,2012,0,0,0,% AP classes (ELA)
231,Employee Benefits,tau50,2013,-2.410681917,-4.654614889,-0.166748946,% AP classes (ELA)
232,Employee Benefits,tau50,2014,-2.5783498,-4.979689062,-0.177010537,% AP classes (ELA)
233,Employee Benefits,tau50,2015,-3.276570511,-5.91989579,-0.633245233,% AP classes (ELA)
234,Employee Benefits,tau50,2016,-2.607966327,-5.394252719,0.178320065,% AP classes (ELA)
