"","Traditional_SOC","Teacher_White","NewTeaching","PCT_FRPM_15bin","AcademicYear","N"
"1","Elementary School",0,"0","Quintile 1","12",3499
"2","Elementary School",0,"0","Quintile 1","13",3594
"3","Elementary School",0,"0","Quintile 1","14",3800
"4","Elementary School",0,"0","Quintile 1","15",4017
"5","Elementary School",0,"0","Quintile 1","16",4208
"6","Elementary School",0,"0","Quintile 1","17",4242
"7","Elementary School",0,"0","Quintile 2","12",3864
"8","Elementary School",0,"0","Quintile 2","13",4132
"9","Elementary School",0,"0","Quintile 2","14",4325
"10","Elementary School",0,"0","Quintile 2","15",4474
"11","Elementary School",0,"0","Quintile 2","16",4722
"12","Elementary School",0,"0","Quintile 2","17",4902
"13","Elementary School",0,"0","Quintile 3","12",4930
"14","Elementary School",0,"0","Quintile 3","13",5086
"15","Elementary School",0,"0","Quintile 3","14",5237
"16","Elementary School",0,"0","Quintile 3","15",5229
"17","Elementary School",0,"0","Quintile 3","16",5669
"18","Elementary School",0,"0","Quintile 3","17",5830
"19","Elementary School",0,"0","Quintile 4","12",8774
"20","Elementary School",0,"0","Quintile 4","13",8833
"21","Elementary School",0,"0","Quintile 4","14",9098
"22","Elementary School",0,"0","Quintile 4","15",8996
"23","Elementary School",0,"0","Quintile 4","16",9889
"24","Elementary School",0,"0","Quintile 4","17",10077
"25","Elementary School",0,"0","Quintile 5","12",18665
"26","Elementary School",0,"0","Quintile 5","13",18527
"27","Elementary School",0,"0","Quintile 5","14",18727
"28","Elementary School",0,"0","Quintile 5","15",14483
"29","Elementary School",0,"0","Quintile 5","16",19719
"30","Elementary School",0,"0","Quintile 5","17",19623
"31","Elementary School",0,"1","Quintile 1","12",128
"32","Elementary School",0,"1","Quintile 1","13",182
"33","Elementary School",0,"1","Quintile 1","14",255
"34","Elementary School",0,"1","Quintile 1","15",220
"35","Elementary School",0,"1","Quintile 1","16",228
"36","Elementary School",0,"1","Quintile 1","17",248
"37","Elementary School",0,"1","Quintile 2","12",165
"38","Elementary School",0,"1","Quintile 2","13",243
"39","Elementary School",0,"1","Quintile 2","14",298
"40","Elementary School",0,"1","Quintile 2","15",313
"41","Elementary School",0,"1","Quintile 2","16",314
"42","Elementary School",0,"1","Quintile 2","17",302
"43","Elementary School",0,"1","Quintile 3","12",183
"44","Elementary School",0,"1","Quintile 3","13",249
"45","Elementary School",0,"1","Quintile 3","14",367
"46","Elementary School",0,"1","Quintile 3","15",393
"47","Elementary School",0,"1","Quintile 3","16",400
"48","Elementary School",0,"1","Quintile 3","17",397
"49","Elementary School",0,"1","Quintile 4","12",293
"50","Elementary School",0,"1","Quintile 4","13",428
"51","Elementary School",0,"1","Quintile 4","14",624
"52","Elementary School",0,"1","Quintile 4","15",639
"53","Elementary School",0,"1","Quintile 4","16",754
"54","Elementary School",0,"1","Quintile 4","17",630
"55","Elementary School",0,"1","Quintile 5","12",389
"56","Elementary School",0,"1","Quintile 5","13",584
"57","Elementary School",0,"1","Quintile 5","14",900
"58","Elementary School",0,"1","Quintile 5","15",992
"59","Elementary School",0,"1","Quintile 5","16",1190
"60","Elementary School",0,"1","Quintile 5","17",1058
"61","Elementary School",1,"0","Quintile 1","12",19619
"62","Elementary School",1,"0","Quintile 1","13",19502
"63","Elementary School",1,"0","Quintile 1","14",20150
"64","Elementary School",1,"0","Quintile 1","15",20338
"65","Elementary School",1,"0","Quintile 1","16",20375
"66","Elementary School",1,"0","Quintile 1","17",20086
"67","Elementary School",1,"0","Quintile 2","12",16161
"68","Elementary School",1,"0","Quintile 2","13",16401
"69","Elementary School",1,"0","Quintile 2","14",16722
"70","Elementary School",1,"0","Quintile 2","15",16701
"71","Elementary School",1,"0","Quintile 2","16",16710
"72","Elementary School",1,"0","Quintile 2","17",16560
"73","Elementary School",1,"0","Quintile 3","12",14496
"74","Elementary School",1,"0","Quintile 3","13",14434
"75","Elementary School",1,"0","Quintile 3","14",14430
"76","Elementary School",1,"0","Quintile 3","15",14584
"77","Elementary School",1,"0","Quintile 3","16",14242
"78","Elementary School",1,"0","Quintile 3","17",14023
"79","Elementary School",1,"0","Quintile 4","12",15800
"80","Elementary School",1,"0","Quintile 4","13",15453
"81","Elementary School",1,"0","Quintile 4","14",15339
"82","Elementary School",1,"0","Quintile 4","15",15737
"83","Elementary School",1,"0","Quintile 4","16",14864
"84","Elementary School",1,"0","Quintile 4","17",14519
"85","Elementary School",1,"0","Quintile 5","12",15968
"86","Elementary School",1,"0","Quintile 5","13",15496
"87","Elementary School",1,"0","Quintile 5","14",15228
"88","Elementary School",1,"0","Quintile 5","15",19893
"89","Elementary School",1,"0","Quintile 5","16",14600
"90","Elementary School",1,"0","Quintile 5","17",14160
"91","Elementary School",1,"0",NA,"14",1
"92","Elementary School",1,"1","Quintile 1","12",538
"93","Elementary School",1,"1","Quintile 1","13",673
"94","Elementary School",1,"1","Quintile 1","14",787
"95","Elementary School",1,"1","Quintile 1","15",802
"96","Elementary School",1,"1","Quintile 1","16",838
"97","Elementary School",1,"1","Quintile 1","17",709
"98","Elementary School",1,"1","Quintile 2","12",488
"99","Elementary School",1,"1","Quintile 2","13",635
"100","Elementary School",1,"1","Quintile 2","14",900
