"","Fiscalyear","Ccode","Dcode","state_rev_PP_16","CAExp_PP","CALocalAssist_PP","timetrend","formula_weight","pred_mod1","pred_mod2"
"1",2003,1,"61119",0,2669,11880,0,0.08026,-566.267254721575,-1.32906093916849
"2",2003,1,"61127",7598.36,2669,11880,0,0.06798,9904.81632945581,6634.27514535069
"3",2003,1,"61143",10490.26,2669,11880,0,0.08382,9360.18178438992,10454.3686956419
"4",2003,1,"61150",10822.36,2669,11880,0,0.0534,10200.8094220716,10746.9476818232
"5",2003,1,"61168",9732.22,2669,11880,0,0.1849,8573.95626575639,9880.17453368376
"6",2003,1,"61176",8309.08,2669,11880,0,0.0629,7921.3147567865,8341.74087385984
"7",2003,1,"61192",8401.71,2669,11880,0,0.26365,8221.43798773497,8570.42093759423
"8",2003,1,"61200",7854.59,2669,11880,0,0.05788,7139.24225781091,7918.78342657871
"9",2003,1,"61218",9392.75,2669,11880,0,0.20226,11033.457254246,9398.06174159531
"10",2003,1,"61234",8087.44,2669,11880,0,0.14143,7588.1618752243,8146.62403041003
"11",2003,1,"61242",7667.81,2669,11880,0,0.11686,7274.60569796702,7745.70975539047
"12",2003,1,"61259",10381.63,2669,11880,0,0.26848,9937.49892001635,10512.0347885624
"13",2003,1,"61275",7503.05,2669,11880,0,0.00552,6803.20561510883,7513.824838357
"14",2003,1,"61291",8040.76,2669,11880,0,0.21367,7422.12260151929,8092.44883010332
"15",2003,1,"61309",7827.99,2669,11880,0,0.23747,7475.94316638385,7812.03003592644
"16",2003,1,"75093",8568.91,2669,11880,0,0.02964,7725.03023966899,8643.27246030168
"17",2003,1,"75101",9451.03,2669,11880,0,0.02204,8750.37857189709,9495.14181015561
"18",2003,1,"75119",12681.21,2669,11880,0,0.02528,8832.06355131567,12791.1915468851
"19",2003,2,"61333",19459.28,2669,11880,0,0.17608,23061.1404328949,19650.2585697307
"20",2003,3,"73981",7441.91,2669,11880,0,0.09196,7100.61711539856,7499.53843206276
"21",2003,4,"61382",8075.05,2669,11880,0,0.3011,8654.41131774256,7986.46268475921
"22",2003,4,"61408",9474.94,2669,11880,0,0.24433,9953.30325860959,9285.97889088202
"23",2003,4,"61424",7654.07,2669,11880,0,0.10182,7661.80789227104,7624.73206242663
"24",2003,4,"61432",8033.43,2669,11880,0,0.07946,7925.55209603689,8117.73025875363
"25",2003,4,"61440",14629.59,2669,11880,0,0.29774,16512.2651909381,14607.1745660239
"26",2003,4,"61457",12296.81,2669,11880,0,0.26148,14187.2689891738,12315.2804295206
"27",2003,4,"61499",7638.76,2669,11880,0,0.09736,7262.43274776281,7655.17212134197
"28",2003,4,"61507",8041.99,2669,11880,0,0.27975,7536.37742867281,8008.56567081179
"29",2003,4,"61515",9150.45,2669,11880,0,0.24517,9032.82829031068,9195.55654931086
"30",2003,4,"61523",8618.14,2669,11880,0,0.30005,8204.49802811618,8606.51773461806
"31",2003,4,"61531",7685.95,2669,11880,0,0.18749,7983.14078016819,7473.29072846118
"32",2003,4,"61549",8195.78,2669,11880,0,0.35794,8428.10879618395,8157.22401806017
"33",2003,4,"73379",11461.05,2669,11880,0,0.41499,13127.7835325507,12052.1999503263
"34",2003,4,"75507",7991.91,2669,11880,0,0.25168,7707.88328599428,8026.96579189144
"35",2003,5,"61556",9599.55,2669,11880,0,0.07858,12283.4936818739,8911.2632251943
"36",2003,5,"61564",8122.36,2669,11880,0,0.10278,7584.36907135801,8329.81800838296
"37",2003,5,"61572",7344.95,2669,11880,0,0.13534,6906.60339539127,7540.41773321342
"38",2003,5,"61580",7870.79,2669,11880,0,0.0789,8884.1787415695,7272.09167663854
"39",2003,6,"61598",7833.84,2669,11880,0,0.21241,7814.01605396762,7802.87783344084
"40",2003,6,"61606",9212.15,2669,11880,0,0.18959,9345.66935942095,9143.20719139533
"41",2003,6,"61614",9989.11,2669,11880,0,0.23404,8236.60162027106,9038.59645647986
"42",2003,6,"61622",8061.56,2669,11880,0,0.31447,7742.14040565178,7986.97978720475
"43",2003,7,"61630",15824.87,2669,11880,0,0.01224,11630.0368687176,16734.1971612601
"44",2003,7,"61648",7205.54,2669,11880,0,0.19575,7054.47725856238,7174.06073221247
"45",2003,7,"61655",6896.38,2669,11880,0,0.0633,6405.24358140609,6979.0217374891
"46",2003,7,"61663",6655.58,2669,11880,0,0.05738,6504.36697703644,6865.02316585549
"47",2003,7,"61671",8403.43,2669,11880,0,0.02222,8045.09779297592,8638.39267075042
"48",2003,7,"61697",7570.48,2669,11880,0,0.21703,7791.58372832369,7537.89491416016
"49",2003,7,"61705",9599.26,2669,11880,0,0.09336,7617.24250156705,9480.20996600344
"50",2003,7,"61713",6865.35,2669,11880,0,0.01004,6340.7508333099,7016.74826997252
"51",2003,7,"61721",7856.04,2669,11880,0,0.06134,7278.74784077021,7838.19557206977
"52",2003,7,"61739",8125.24,2669,11880,0,0.0583,7116.79977366146,7761.30643150353
"53",2003,7,"61747",6789.76,2669,11880,0,0.00648,6340.86179419573,6921.12439010896
"54",2003,7,"61754",8234.56,2669,11880,0,0.10046,7979.59288856452,8200.28934611925
"55",2003,7,"61762",6915.22,2669,11880,0,0.10304,6528.63005736073,7047.75568606726
"56",2003,7,"61770",6657.12,2669,11880,0,0.00258,6251.84000415485,6723.85265049492
"57",2003,7,"61788",8013.94,2669,11880,0,0.33078,7749.2061045149,7787.9185955161
"58",2003,7,"61796",8913.99,2669,11880,0,0.24909,8658.16377158251,9053.33740181867
"59",2003,7,"61804",7003.59,2669,11880,0,0.01778,6830.1023396987,6920.56101807038
"60",2003,7,"61812",6834.68,2669,11880,0,0.03418,6316.34714910114,6955.0328468649
"61",2003,8,"61820",8898.7,2669,11880,0,0.201,8018.46170669429,8814.58878130909
"62",2003,9,"61838",7110.27,2669,11880,0,0.0332,6827.95727878323,7061.65894185706
"63",2003,9,"61846",7699.95,2669,11880,0,0.10714,7454.7377597114,7741.07305858346
"64",2003,9,"61853",8118.36,2669,11880,0,0.04094,7874.82078517195,8181.29158906464
"65",2003,9,"61879",7512.18,2669,11880,0,0.08656,7273.64248303428,7545.19712566557
"66",2003,9,"61887",7654.35,2669,11880,0,0.05472,7032.4220433163,7883.95923335753
"67",2003,9,"61895",9120.2,2669,11880,0,0.04444,10820.5297505933,8121.83862793085
"68",2003,9,"61903",8182.53,2669,11880,0,0.16313,8353.05286083617,8226.02996648275
"69",2003,9,"61911",8254.88,2669,11880,0,0.00752,8676.40373820654,7736.58810765383
"70",2003,9,"61929",7385.78,2669,11880,0,0.10944,7100.74525127391,7386.21719017863
"71",2003,9,"61945",9113.27,2669,11880,0,0.14542,8141.63277580454,9128.91369098351
"72",2003,9,"61952",7525.61,2669,11880,0,0.12036,7232.43666338831,7647.09621064464
"73",2003,9,"61960",8015.44,2669,11880,0,0.1043,7515.15960491244,7970.92592645802
"74",2003,9,"61978",6960.62,2669,11880,0,0.0299,6390.86622567171,7051.00298428133
"75",2003,9,"61986",23798.88,2669,11880,0,0.22501,24460.9035294842,18396.9504591135
"76",2003,9,"73783",7800.22,2669,11880,0,0.09098,7981.57324508063,7708.99768767453
"77",2003,10,"61994",7911.79,2669,11880,0,0.30103,7517.48789843414,7729.29442240232
"78",2003,10,"62026",20336.84,2669,11880,0,0.05538,23040.3758539384,20763.948241048
"79",2003,10,"62042",8643.08,2669,11880,0,0.38517,9107.25690716145,8140.97030394363
"80",2003,10,"62109",6699.66,2669,11880,0,0.05158,6309.82752005264,7158.22339146628
"81",2003,10,"62117",7693.26,2669,11880,0,0.08682,7560.051469037,7694.94161718019
"82",2003,10,"62125",8409.62,2669,11880,0,0.35353,7821.01337975315,8051.14852190555
"83",2003,10,"62158",7679.62,2669,11880,0,0.27527,7233.8855929336,7639.24066211919
"84",2003,10,"62166",8582.17,2669,11880,0,0.33323,8443.67878030981,8498.9107312699
"85",2003,10,"62240",7189.75,2669,11880,0,0.1443,6866.91606686973,7022.71096754016
"86",2003,10,"62257",7971.91,2669,11880,0,0.07914,7564.6920363412,7851.7532515828
"87",2003,10,"62265",7879.89,2669,11880,0,0.30551,7919.56873417336,7927.5958705244
"88",2003,10,"62281",8955.41,2669,11880,0,0.32427,8720.98610883136,8893.55806810671
"89",2003,10,"62323",7077.31,2669,11880,0,0.30607,7302.50608864073,7358.17344326715
"90",2003,10,"62331",8212.47,2669,11880,0,0.38601,8199.88893886255,8379.53900945114
"91",2003,10,"62356",7485.4,2669,11880,0,0.35122,7672.12154257512,7483.56215311599
"92",2003,10,"62364",8253.58,2669,11880,0,0.42171,8126.33378615938,8152.56086407479
"93",2003,10,"62372",17002.18,2669,11880,0,0.05842,23467.3479210474,21820.9624324744
"94",2003,10,"62380",8105.85,2669,11880,0,0.38503,9508.09206854452,8446.8841360375
"95",2003,10,"62414",8951.43,2669,11880,0,0.30131,8800.12257566783,8969.3910628258
"96",2003,10,"62430",7525.5,2669,11880,0,0.32714,7453.69330047676,7432.07437632332
"97",2003,10,"62513",7923.9,2669,11880,0,0.32882,7672.46836387897,8000.32721787425
"98",2003,10,"62539",27168.93,2669,11880,0,0.37383,18811.3399791965,21164.8014885656
