"","year","x","y","Subject_Category","idx_error","Freq","Percent","CumFreq","CumPercent"
"1","12","Teacher_White","PCT_EL","Art, Music, Dance, Drama",FALSE,3477,84.5,3477,84.5
"2","12","Teacher_White","PCT_EL","Art, Music, Dance, Drama",TRUE,640,15.5,4117,100
"3","12","Teacher_White","PCT_EL","Career Technical Education/Vocational",FALSE,2253,97.2,2253,97.2
"4","12","Teacher_White","PCT_EL","Career Technical Education/Vocational",TRUE,66,2.8,2319,100
"5","12","Teacher_White","PCT_EL","Computer Education",FALSE,1444,94.1,1444,94.1
"6","12","Teacher_White","PCT_EL","Computer Education",TRUE,91,5.9,1535,100
"7","12","Teacher_White","PCT_EL","English Language Arts",FALSE,4237,93,4237,93
"8","12","Teacher_White","PCT_EL","English Language Arts",TRUE,321,7,4558,100
"9","12","Teacher_White","PCT_EL","Foreign Languages",FALSE,2207,97.1,2207,97.1
"10","12","Teacher_White","PCT_EL","Foreign Languages",TRUE,67,2.9,2274,100
"11","12","Teacher_White","PCT_EL","History/Social Science",FALSE,4111,97.3,4111,97.3
"12","12","Teacher_White","PCT_EL","History/Social Science",TRUE,113,2.7,4224,100
"13","12","Teacher_White","PCT_EL","Mathematics",FALSE,4177,97.1,4177,97.1
"14","12","Teacher_White","PCT_EL","Mathematics",TRUE,123,2.9,4300,100
"15","12","Teacher_White","PCT_EL","Other Instruction-Related Assignments",FALSE,3908,67.9,3908,67.9
"16","12","Teacher_White","PCT_EL","Other Instruction-Related Assignments",TRUE,1844,32.1,5752,100
"17","12","Teacher_White","PCT_EL","PE/Health",FALSE,3972,88,3972,88
"18","12","Teacher_White","PCT_EL","PE/Health",TRUE,540,12,4512,100
"19","12","Teacher_White","PCT_EL","Science",FALSE,4088,94.7,4088,94.7
"20","12","Teacher_White","PCT_EL","Science",TRUE,231,5.3,4319,100
"21","12","Teacher_White","PCT_EL","Self-Contained Class",FALSE,7035,98.3,7035,98.3
"22","12","Teacher_White","PCT_EL","Self-Contained Class",TRUE,123,1.7,7158,100
"23","12","Teacher_White","PCT_EL","Special Designated Subjects",FALSE,517,96.1,517,96.1
"24","12","Teacher_White","PCT_EL","Special Designated Subjects",TRUE,21,3.9,538,100
"25","12","Teacher_White","PCT_EL",NA,FALSE,5,0.1,5,0.1
"26","12","Teacher_White","PCT_EL",NA,TRUE,4764,99.9,4769,100
"27","12","Teacher_Latino","PCT_EL","Art, Music, Dance, Drama",FALSE,3477,84.5,3477,84.5
"28","12","Teacher_Latino","PCT_EL","Art, Music, Dance, Drama",TRUE,640,15.5,4117,100
"29","12","Teacher_Latino","PCT_EL","Career Technical Education/Vocational",FALSE,2253,97.2,2253,97.2
"30","12","Teacher_Latino","PCT_EL","Career Technical Education/Vocational",TRUE,66,2.8,2319,100
"31","12","Teacher_Latino","PCT_EL","Computer Education",FALSE,1444,94.1,1444,94.1
"32","12","Teacher_Latino","PCT_EL","Computer Education",TRUE,91,5.9,1535,100
"33","12","Teacher_Latino","PCT_EL","English Language Arts",FALSE,4237,93,4237,93
"34","12","Teacher_Latino","PCT_EL","English Language Arts",TRUE,321,7,4558,100
"35","12","Teacher_Latino","PCT_EL","Foreign Languages",FALSE,2207,97.1,2207,97.1
"36","12","Teacher_Latino","PCT_EL","Foreign Languages",TRUE,67,2.9,2274,100
"37","12","Teacher_Latino","PCT_EL","History/Social Science",FALSE,4111,97.3,4111,97.3
"38","12","Teacher_Latino","PCT_EL","History/Social Science",TRUE,113,2.7,4224,100
"39","12","Teacher_Latino","PCT_EL","Mathematics",FALSE,4177,97.1,4177,97.1
