"","FiscalYear","Ccode","Dcode","Dname","Dtype","TotalExp_C","K12ADA_C","TotalExp_K12_C","TotalExp_C_16","TotalExp_K12_C_16"
"1",2003,1,61127,"Albany City Unified","Unified",21069638.6,3279.03,6425.57054982724,27482938.87,8381.42
"2",2003,1,61143,"Berkeley Unified","Unified",84033245.74,8310.94,10111.1601984854,109611778.32,13188.85
"3",2003,1,61150,"Castro Valley Unified","Unified",52066490.22,8212.52,6339.89204531618,67914794.12,8269.67
"4",2003,1,61168,"Emery Unified","Unified",7346711.09,767.65,9570.3915716798,9582946.13,12483.48
"5",2003,1,61176,"Fremont Unified","Unified",197258859.51,31067.93,6349.27590959552,257301668.99,8281.91
"6",2003,1,61192,"Hayward Unified","Unified",155457644.27,22815.82,6813.59005593487,202776754.5,8887.55
"7",2003,1,61200,"Livermore Valley Joint Unified","Unified",84062816.91,13937.08,6031.59463173061,109650350.53,7867.53
"8",2003,1,61218,"Mountain House Elementary","Elementary",439819.4,46.62,9434.13556413557,573694.21,12305.75
"9",2003,1,61234,"Newark Unified","Unified",48857241.64,7253.75,6735.44602998449,63728695.62,8785.62
"10",2003,1,61242,"New Haven Unified","Unified",87339597.4,13193.23,6620.03144036752,113924536.7,8635.08
"11",2003,1,61259,"Oakland Unified","Unified",380078076.53,45015.75,8443.22434992197,495768472.36,11013.22
"12",2003,1,61275,"Piedmont City Unified","Unified",22302063.77,2542.33,8772.29304220931,29090496.84,11442.46
"13",2003,1,61291,"San Leandro Unified","Unified",53321922.92,8495.05,6276.82272853014,69552362.79,8187.4
"14",2003,1,61309,"San Lorenzo Unified","Unified",72411459.23,10934.97,6622.00803751634,94452484.21,8637.65
"15",2003,1,75093,"Dublin Unified","Unified",32625619.15,4337.04,7522.55435734971,42556396.61,9812.31
"16",2003,1,75101,"Pleasanton Unified","Unified",98985540.46,13883.13,7129.9152611839,129115340.27,9300.16
"17",2003,1,75119,"Sunol Glen Unified","Unified",1651348.49,199.81,8264.59381412342,2153995.64,10780.22
"18",2003,2,61333,"Alpine County Unified","Unified",2905045.46,140.01,20748.8426540961,3789300.25,27064.5
"19",2003,3,73981,"Amador County Unified","Unified",25793935.33,4351.87,5927.09233731706,33645244.76,7731.22
"20",2003,4,61382,"Bangor Union Elementary","Elementary",980294.11,148.95,6581.36361195032,1278681.79,8584.64
"21",2003,4,61408,"Biggs Unified","Unified",6456754.8,779.72,8280.86338685682,8422099.72,10801.44
"22",2003,4,61424,"Chico Unified","Unified",89758836.61,13177.08,6811.73952119893,117080158.14,8885.14
"23",2003,4,61432,"Durham Unified","Unified",7951732.61,1213.64,6551.96978510926,10372127.66,8546.3
"24",2003,4,61440,"Feather Falls Union Elementary","Elementary",448734.05,34.34,13067.3864298195,585322.35,17044.91
"25",2003,4,61457,"Golden Feather Union Elementary","Elementary",1809889.01,157.17,11515.4864796081,2360793.65,15020.64
"26",2003,4,61499,"Manzanita Elementary","Elementary",1449767.36,254.46,5697.42733632005,1891056.06,7431.64
"27",2003,4,61507,"Oroville City Elementary","Elementary",21109866.17,3038.56,6947.32576286136,27535411.14,9061.99
"28",2003,4,61515,"Oroville Union High","High School",17570038.25,2550.6,6888.59023367051,22918109.62,8985.38
"29",2003,4,61523,"Palermo Union Elementary","Elementary",8581923.77,1258.72,6817.97680977501,11194140.1,8893.27
"30",2003,4,61531,"Paradise Unified","Unified",33178679.02,4995.73,6641.40756606142,43277800.08,8662.96
"31",2003,4,61549,"Thermalito Union Elementary","Elementary",11242910.44,1472.37,7635.92740955059,14665093.51,9960.2
"32",2003,4,73379,"Pioneer Union Elementary","Elementary",1161047.04,122.83,9452.4712203859,1514453.35,12329.67
"33",2003,4,75507,"Gridley Unified","Unified",13287464.95,1984.38,6696.02845725113,17331981.52,8734.2
"34",2003,5,61556,"Bret Harte Union High","High School",7069388.68,893.45,7912.46144719906,9221210.7,10320.9
"35",2003,5,61564,"Calaveras Unified","Unified",24735179.69,3487.61,7092.30094247923,32264218.87,9251.1
"36",2003,5,61572,"Mark Twain Union Elementary","Elementary",4897961.52,749.78,6532.53156926032,6388831.8,8520.94
"37",2003,5,61580,"Vallecito Union Elementary","Elementary",6260841.84,895.74,6989.57492129413,8166553.63,9117.1
"38",2003,6,61598,"Colusa Unified","Unified",9323215.52,1440.95,6470.18669627676,12161070.58,8439.62
"39",2003,6,61606,"Maxwell Unified","Unified",3248260.45,452.7,7175.3047271924,4236985.03,9359.37
"40",2003,6,61614,"Pierce Joint Unified","Unified",7703213.83,1215.32,6338.42430800119,10047963.27,8267.75
"41",2003,6,61622,"Williams Unified","Unified",6844509.61,1031.53,6635.29864376218,8927881.62,8654.99
"42",2003,7,61630,"Acalanes Union High","High School",40492335.94,5631.37,7190.49466470859,52817630.83,9379.18
"43",2003,7,61648,"Antioch Unified","Unified",122844277.96,20390.94,6024.45389766239,160236340.33,7858.21
"44",2003,7,61655,"Brentwood Union Elementary","Elementary",34123046.76,5841.43,5841.55707763339,44509620.02,7619.64
"45",2003,7,61663,"Byron Union Elementary","Elementary",8046439.93,1384.73,5810.83671907159,10495662.54,7579.57
"46",2003,7,61671,"Canyon Elementary","Elementary",448932.19,62.02,7238.50677200903,585580.81,9441.81
"47",2003,7,61697,"John Swett Unified","Unified",11837266.36,1710.42,6920.67817261257,15440362.97,9027.23
"48",2003,7,61705,"Knightsen Elementary","Elementary",3175358.31,448.13,7085.79722401982,4141892.51,9242.61
"49",2003,7,61713,"Lafayette Elementary","Elementary",22340282.15,3329.2,6710.40554787937,29140348.36,8752.96
"50",2003,7,61721,"Liberty Union High","High School",31129599.02,4441.36,7009.02404218528,40605009.09,9142.47
