"","Ccode","Cname","Dcode","Dname","Dtype","first","last","opr_years"
"1",1,"Alameda",61119,"Alameda City Unified","UNIFIED",2003,2016,14
"2",1,"Alameda",61127,"Albany City Unified","UNIFIED",2003,2016,14
"3",1,"Alameda",61143,"Berkeley Unified","UNIFIED",2003,2016,14
"4",1,"Alameda",61150,"Castro Valley Unified","UNIFIED",2003,2016,14
"5",1,"Alameda",61168,"Emery Unified","UNIFIED",2003,2016,14
"6",1,"Alameda",61176,"Fremont Unified","UNIFIED",2003,2016,14
"7",1,"Alameda",61192,"Hayward Unified","UNIFIED",2003,2016,14
"8",1,"Alameda",61200,"Livermore Valley Joint Unified","UNIFIED",2003,2016,14
"9",1,"Alameda",61218,"Mountain House Elementary","ELEMENTARY",2003,2016,14
"10",1,"Alameda",61234,"Newark Unified","UNIFIED",2003,2016,14
"11",1,"Alameda",61242,"New Haven Unified","UNIFIED",2003,2016,14
"12",1,"Alameda",61259,"Oakland Unified","UNIFIED",2003,2016,14
"13",1,"Alameda",61275,"Piedmont City Unified","UNIFIED",2003,2016,14
"14",1,"Alameda",61291,"San Leandro Unified","UNIFIED",2003,2016,14
"15",1,"Alameda",61309,"San Lorenzo Unified","UNIFIED",2003,2016,14
"16",1,"Alameda",75093,"Dublin Unified","UNIFIED",2003,2016,14
"17",1,"Alameda",75101,"Pleasanton Unified","UNIFIED",2003,2016,14
"18",1,"Alameda",75119,"Sunol Glen Unified","UNIFIED",2003,2016,14
"19",2,"Alpine",61333,"Alpine County Unified","UNIFIED",2003,2016,14
"20",3,"Amador",73981,"Amador County Unified","UNIFIED",2003,2016,14
"21",4,"Butte",61382,"Bangor Union Elementary","ELEMENTARY",2003,2016,14
"22",4,"Butte",61408,"Biggs Unified","UNIFIED",2003,2016,14
"23",4,"Butte",61424,"Chico Unified","UNIFIED",2003,2016,14
"24",4,"Butte",61432,"Durham Unified","UNIFIED",2003,2016,14
"25",4,"Butte",61440,"Feather Falls Union Elementary","ELEMENTARY",2003,2016,14
"26",4,"Butte",61457,"Golden Feather Union Elementary","ELEMENTARY",2003,2016,14
"27",4,"Butte",61499,"Manzanita Elementary","ELEMENTARY",2003,2016,14
"28",4,"Butte",61507,"Oroville City Elementary","ELEMENTARY",2003,2016,14
"29",4,"Butte",61515,"Oroville Union High","HIGH",2003,2016,14
"30",4,"Butte",61523,"Palermo Union Elementary","ELEMENTARY",2003,2016,14
"31",4,"Butte",61531,"Paradise Unified","UNIFIED",2003,2016,14
"32",4,"Butte",61549,"Thermalito Union Elementary","ELEMENTARY",2003,2016,14
"33",4,"Butte",73379,"Pioneer Union Elementary","ELEMENTARY",2003,2016,14
"34",4,"Butte",75507,"Gridley Unified","UNIFIED",2003,2016,14
"35",5,"Calaveras",61556,"Bret Harte Union High","HIGH",2003,2016,14
"36",5,"Calaveras",61564,"Calaveras Unified","UNIFIED",2003,2016,14
"37",5,"Calaveras",61572,"Mark Twain Union Elementary","ELEMENTARY",2003,2016,14
"38",5,"Calaveras",61580,"Vallecito Union Elementary","ELEMENTARY",2003,2016,14
"39",6,"Colusa",61598,"Colusa Unified","UNIFIED",2003,2016,14
"40",6,"Colusa",61606,"Maxwell Unified","UNIFIED",2003,2016,14
"41",6,"Colusa",61614,"Pierce Joint Unified","UNIFIED",2003,2016,14
"42",6,"Colusa",61622,"Williams Unified","UNIFIED",2003,2016,14
"43",7,"Contra Costa",61630,"Acalanes Union High","HIGH",2003,2016,14
"44",7,"Contra Costa",61648,"Antioch Unified","UNIFIED",2003,2016,14
"45",7,"Contra Costa",61655,"Brentwood Union Elementary","ELEMENTARY",2003,2016,14
"46",7,"Contra Costa",61663,"Byron Union Elementary","ELEMENTARY",2003,2016,14
"47",7,"Contra Costa",61671,"Canyon Elementary","ELEMENTARY",2003,2016,14
"48",7,"Contra Costa",61697,"John Swett Unified","UNIFIED",2003,2016,14
"49",7,"Contra Costa",61705,"Knightsen Elementary","ELEMENTARY",2003,2016,14
"50",7,"Contra Costa",61713,"Lafayette Elementary","ELEMENTARY",2003,2016,14
"51",7,"Contra Costa",61721,"Liberty Union High","HIGH",2003,2016,14
"52",7,"Contra Costa",61739,"Martinez Unified","UNIFIED",2003,2016,14
"53",7,"Contra Costa",61747,"Moraga Elementary","ELEMENTARY",2003,2016,14
"54",7,"Contra Costa",61754,"Mt. Diablo Unified","UNIFIED",2003,2016,14
"55",7,"Contra Costa",61762,"Oakley Union Elementary","ELEMENTARY",2003,2016,14
"56",7,"Contra Costa",61770,"Orinda Union Elementary","ELEMENTARY",2003,2016,14
"57",7,"Contra Costa",61788,"Pittsburg Unified","UNIFIED",2003,2016,14
"58",7,"Contra Costa",61796,"West Contra Costa Unified","UNIFIED",2003,2016,14
"59",7,"Contra Costa",61804,"San Ramon Valley Unified","UNIFIED",2003,2016,14
"60",7,"Contra Costa",61812,"Walnut Creek Elementary","ELEMENTARY",2003,2016,14
"61",8,"Del Norte",61820,"Del Norte County Unified","UNIFIED",2003,2016,14
"62",9,"El Dorado",61838,"Buckeye Union Elementary","ELEMENTARY",2003,2016,14
"63",9,"El Dorado",61846,"Camino Union Elementary","ELEMENTARY",2003,2016,14
"64",9,"El Dorado",61853,"El Dorado Union High","HIGH",2003,2016,14
"65",9,"El Dorado",61879,"Gold Oak Union Elementary","ELEMENTARY",2003,2016,14
"66",9,"El Dorado",61887,"Gold Trail Union Elementary","ELEMENTARY",2003,2016,14
"67",9,"El Dorado",61895,"Indian Diggings Elementary","ELEMENTARY",2003,2016,14
"68",9,"El Dorado",61903,"Lake Tahoe Unified","UNIFIED",2003,2016,14
"69",9,"El Dorado",61911,"Latrobe Elementary","ELEMENTARY",2003,2016,14
"70",9,"El Dorado",61929,"Mother Lode Union Elementary","ELEMENTARY",2003,2016,14
"71",9,"El Dorado",61945,"Pioneer Union Elementary","ELEMENTARY",2003,2016,14
"72",9,"El Dorado",61952,"Placerville Union Elementary","ELEMENTARY",2003,2016,14
"73",9,"El Dorado",61960,"Pollock Pines Elementary","ELEMENTARY",2003,2016,14
"74",9,"El Dorado",61978,"Rescue Union Elementary","ELEMENTARY",2003,2016,14
"75",9,"El Dorado",61986,"Silver Fork Elementary","ELEMENTARY",2003,2016,14
"76",9,"El Dorado",73783,"Black Oak Mine Unified","UNIFIED",2003,2016,14
"77",10,"Fresno",61994,"Alvina Elementary","ELEMENTARY",2003,2016,14
"78",10,"Fresno",62000,"American Union Elementary","ELEMENTARY",2003,2011,9
"79",10,"Fresno",62026,"Big Creek Elementary","ELEMENTARY",2003,2016,14
"80",10,"Fresno",62042,"Burrel Union Elementary","ELEMENTARY",2003,2016,14
"81",10,"Fresno",62109,"Clay Joint Elementary","ELEMENTARY",2003,2016,14
"82",10,"Fresno",62117,"Clovis Unified","UNIFIED",2003,2016,14
"83",10,"Fresno",62125,"Coalinga/Huron Joint Unified","UNIFIED",2003,2016,14
"84",10,"Fresno",62158,"Fowler Unified","UNIFIED",2003,2016,14
"85",10,"Fresno",62166,"Fresno Unified","UNIFIED",2003,2016,14
"86",10,"Fresno",62174,"West Fresno Elementary","ELEMENTARY",2003,2011,9
"87",10,"Fresno",62240,"Kingsburg Joint Union Elementary","ELEMENTARY",2003,2016,14
"88",10,"Fresno",62257,"Kingsburg Joint Union High","HIGH",2003,2016,14
"89",10,"Fresno",62265,"Kings Canyon Joint Unified","UNIFIED",2003,2016,14
"90",10,"Fresno",62281,"Laton Joint Unified","UNIFIED",2003,2016,14
