"","rev_vs_exp","Category_1","Category_2","Category_3","Fiscalyear","value","value_16"
"1","Cash Receipts","Revenues","Alcoholic Beverage Excise Tax","Total",2000,285027,397261.76
"2","Cash Receipts","Revenues","Corporation Tax","Total",2000,6546270,9123987.36
"3","Cash Receipts","Revenues","Cigarette Tax","Total",2000,126743,176650.45
"4","Cash Receipts","Revenues","Horse Racing Fees","Total",2000,3866,5388.31
"5","Cash Receipts","Revenues","Estate, Inheritance, and Gift Tax","Total",2000,1109757,1546744.76
"6","Cash Receipts","Revenues","Insurance Companies Tax","Total",2000,1501455,2092681.24
"7","Cash Receipts","Revenues","Personal Income Tax","Total",2000,44772001,62401821.39
"8","Cash Receipts","Revenues","Retail Sales and Use Taxes","Total",2000,21290637,29674227.15
"9","Cash Receipts","Revenues","Vehicle License Fees","Total",2000,NA,NA
"10","Cash Receipts","Revenues","Pooled Money Investment Interest","Total",2000,836686,1166146.9
"11","Cash Receipts","Revenues","Not Otherwise Classified","Total",2000,1114762,1553720.58
"12","Cash Receipts","Nonrevenues","Transfers from Special Fund for Economic Uncertainties","Total",2000,230695,321535.51
"13","Cash Receipts","Nonrevenues","Transfers from Other Funds","Total",2000,171463,238979.79
"14","Cash Receipts","Nonrevenues","Transfer from Economic Recovery Fund","Total",2000,NA,NA
"15","Cash Receipts","Nonrevenues","Transfers from Electric Power Fund","Total",2000,NA,NA
"16","Cash Receipts","Nonrevenues","Miscellaneous","Total",2000,341044,475336.51
"17","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Total",2000,1047188,1459538.04
"18","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Business, Consumer Services and Housing",2000,465333,648566.65
"19","Cash Disbursements","State Operations","Transportation","Total",2000,43963,61274.26
"20","Cash Disbursements","State Operations","Technology, Trade, and Commerce","Total",2000,48083,67016.59
"21","Cash Disbursements","State Operations","Resources","Total",2000,1816778,2532168.63
"22","Cash Disbursements","State Operations","Environmental Protection Agency","Total",2000,318920,444500.77
"23","Cash Disbursements","State Operations","Health and Human Services","Health Care Services and Public Health",2000,253520,353348.28
"24","Cash Disbursements","State Operations","Health and Human Services","Department of State Hospitals",2000,455378,634691.68
"25","Cash Disbursements","State Operations","Health and Human Services","Other Health and Human Services",2000,366087,510240.67
"26","Cash Disbursements","State Operations","Education","University of California",2000,3160156,4404527.07
"27","Cash Disbursements","State Operations","Education","State Universities and Colleges",2000,2399161,3343875.92
"28","Cash Disbursements","State Operations","Education","Other Education",2000,171491,239018.82
"29","Cash Disbursements","State Operations","Dept. of Corrections and Rehabilitation","Total",2000,4595721,6405372.88
"30","Cash Disbursements","State Operations","Governmental Operations","Total",2000,NA,NA
"31","Cash Disbursements","State Operations","General Government","Total",2000,1047796,1460385.45
"32","Cash Disbursements","State Operations","Public Employees Retirement System","Total",2000,-28114,-39184.42
"33","Cash Disbursements","State Operations","Debt Service","Total",2000,2265419,3157470.49
"34","Cash Disbursements","State Operations","Interest on Loans","Total",2000,6253,8715.24
"35","Cash Disbursements","Local Assistance","Public Schools - K-12","Total",2000,26063406,36326364.02
"36","Cash Disbursements","Local Assistance","Community Colleges","Total",2000,2743161,3823332.42
"37","Cash Disbursements","Local Assistance","Debt Service-School Building Bonds","Total",2000,NA,NA
"38","Cash Disbursements","Local Assistance","Contributions to State Teachers' Retirement System","Total",2000,902353,1257671.52
"39","Cash Disbursements","Local Assistance","Other Education","Total",2000,1922204,2679108.1
"40","Cash Disbursements","Local Assistance","School Facilities Aid","Total",2000,20733,28897.01
"41","Cash Disbursements","Local Assistance","Dept. of Corrections and Rehabilitation","Total",2000,117227,163387.34
"42","Cash Disbursements","Local Assistance","Dept. of Alcohol and Drug Program","Total",2000,169919,236827.81
"43","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Medical Assistance Program",2000,8762549,12212968.05
"44","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Other Health Care Services/Public Health",2000,442550,616812.41
"45","Cash Disbursements","Local Assistance","Developmental Services - Regional Centers","Total",2000,946779,1319591.1
"46","Cash Disbursements","Local Assistance","Department of State Hospitals","Total (Dpt. Of Mental Health)",2000,363011,505953.43
"47","Cash Disbursements","Local Assistance","Dept. of Social Services","SSI/SSP/IHSS",2000,3277035,4567429.38
"48","Cash Disbursements","Local Assistance","Dept. of Social Services","CalWORKs",2000,2757458,3843259.13
"49","Cash Disbursements","Local Assistance","Dept. of Social Services","Other Social Services",2000,914903,1275163.32
"50","Cash Disbursements","Local Assistance","Tax Relief","Total",2000,4657699,6491755.89
"51","Cash Disbursements","Local Assistance","Other Local Assistance","Total",2000,4031535,5619028
"52","Cash Disbursements","Capital Outlay","Total","Total",2000,1866906,2602035.47
"53","Cash Receipts","Revenues","Alcoholic Beverage Excise Tax","Total",2001,296452,401753.56
"54","Cash Receipts","Revenues","Corporation Tax","Total",2001,5088175,6895525.79
"55","Cash Receipts","Revenues","Cigarette Tax","Total",2001,113748,154151.98
"56","Cash Receipts","Revenues","Horse Racing Fees","Total",2001,3153,4272.96
"57","Cash Receipts","Revenues","Estate, Inheritance, and Gift Tax","Total",2001,1000488,1355867.44
"58","Cash Receipts","Revenues","Insurance Companies Tax","Total",2001,1590753,2155798.17
"59","Cash Receipts","Revenues","Personal Income Tax","Total",2001,33295428,45122167.07
"60","Cash Receipts","Revenues","Retail Sales and Use Taxes","Total",2001,21368831,28959170.08
"61","Cash Receipts","Revenues","Vehicle License Fees","Total",2001,NA,NA
"62","Cash Receipts","Revenues","Pooled Money Investment Interest","Total",2001,480244,650829.6
"63","Cash Receipts","Revenues","Not Otherwise Classified","Total",2001,1104561,1496907.8
"64","Cash Receipts","Nonrevenues","Transfers from Special Fund for Economic Uncertainties","Total",2001,10280,13931.52
"65","Cash Receipts","Nonrevenues","Transfers from Other Funds","Total",2001,1761202,2386791.69
"66","Cash Receipts","Nonrevenues","Transfer from Economic Recovery Fund","Total",2001,NA,NA
"67","Cash Receipts","Nonrevenues","Transfers from Electric Power Fund","Total",2001,116300,157610.47
"68","Cash Receipts","Nonrevenues","Miscellaneous","Total",2001,374893,508057.28
"69","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Total",2001,1226718,1662455.71
"70","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Business, Consumer Services and Housing",2001,468095,634365.2
"71","Cash Disbursements","State Operations","Transportation","Total",2001,25586,34674.3
"72","Cash Disbursements","State Operations","Technology, Trade, and Commerce","Total",2001,37273,50512.6
"73","Cash Disbursements","State Operations","Resources","Total",2001,1091844,1479673.65
"74","Cash Disbursements","State Operations","Environmental Protection Agency","Total",2001,374420,507416.27
"75","Cash Disbursements","State Operations","Health and Human Services","Health Care Services and Public Health",2001,237110,321332.92
"76","Cash Disbursements","State Operations","Health and Human Services","Department of State Hospitals",2001,493537,668844.35
"77","Cash Disbursements","State Operations","Health and Human Services","Other Health and Human Services",2001,551025,746752.44
"78","Cash Disbursements","State Operations","Education","University of California",2001,3332938,4516817.9
"79","Cash Disbursements","State Operations","Education","State Universities and Colleges",2001,2598314,3521250.98
"80","Cash Disbursements","State Operations","Education","Other Education",2001,189586,256928.1
"81","Cash Disbursements","State Operations","Dept. of Corrections and Rehabilitation","Total",2001,4896279,6635467.16
"82","Cash Disbursements","State Operations","Governmental Operations","Total",2001,NA,NA
"83","Cash Disbursements","State Operations","General Government","Total",2001,1128620,1529512.71
"84","Cash Disbursements","State Operations","Public Employees Retirement System","Total",2001,-95249,-129082.03
"85","Cash Disbursements","State Operations","Debt Service","Total",2001,2309911,3130405.47
"86","Cash Disbursements","State Operations","Interest on Loans","Total",2001,110647,149949.49
"87","Cash Disbursements","Local Assistance","Public Schools - K-12","Total",2001,26333915,35687882.2
"88","Cash Disbursements","Local Assistance","Community Colleges","Total",2001,2727234,3695964.15
"89","Cash Disbursements","Local Assistance","Debt Service-School Building Bonds","Total",2001,NA,NA
"90","Cash Disbursements","Local Assistance","Contributions to State Teachers' Retirement System","Total",2001,871774,1181433.44
"91","Cash Disbursements","Local Assistance","Other Education","Total",2001,2400337,3252951.34
"92","Cash Disbursements","Local Assistance","School Facilities Aid","Total",2001,18122,24559.04
"93","Cash Disbursements","Local Assistance","Dept. of Corrections and Rehabilitation","Total",2001,129261,175175.3
"94","Cash Disbursements","Local Assistance","Dept. of Alcohol and Drug Program","Total",2001,246186,333632.77
"95","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Medical Assistance Program",2001,10049311,13618887.55
"96","Cash Disbursements","Local Assistance","Health Care Services and Public Health","Other Health Care Services/Public Health",2001,461558,625506.22
"97","Cash Disbursements","Local Assistance","Developmental Services - Regional Centers","Total",2001,1439799,1951224.39
"98","Cash Disbursements","Local Assistance","Department of State Hospitals","Total (Dpt. Of Mental Health)",2001,334730,453628.14
"99","Cash Disbursements","Local Assistance","Dept. of Social Services","SSI/SSP/IHSS",2001,3646084,4941195.27
"100","Cash Disbursements","Local Assistance","Dept. of Social Services","CalWORKs",2001,2608193,3534639.06
"101","Cash Disbursements","Local Assistance","Dept. of Social Services","Other Social Services",2001,1003533,1359994.04
"102","Cash Disbursements","Local Assistance","Tax Relief","Total",2001,3032914,4110223.55
"103","Cash Disbursements","Local Assistance","Other Local Assistance","Total",2001,3000275,4065990.98
"104","Cash Disbursements","Capital Outlay","Total","Total",2001,411461,557614.46
"105","Cash Receipts","Revenues","Alcoholic Beverage Excise Tax","Total",2002,289428,386129.77
"106","Cash Receipts","Revenues","Corporation Tax","Total",2002,6509506,8684419.16
"107","Cash Receipts","Revenues","Cigarette Tax","Total",2002,121909,162640.43
"108","Cash Receipts","Revenues","Horse Racing Fees","Total",2002,NA,NA
"109","Cash Receipts","Revenues","Estate, Inheritance, and Gift Tax","Total",2002,932005,1243400.36
"110","Cash Receipts","Revenues","Insurance Companies Tax","Total",2002,1870608,2495603.19
"111","Cash Receipts","Revenues","Personal Income Tax","Total",2002,32464931,43311899.36
"112","Cash Receipts","Revenues","Retail Sales and Use Taxes","Total",2002,22265071,29704129.49
"113","Cash Receipts","Revenues","Vehicle License Fees","Total",2002,NA,NA
"114","Cash Receipts","Revenues","Pooled Money Investment Interest","Total",2002,211318,281922.17
"115","Cash Receipts","Revenues","Not Otherwise Classified","Total",2002,3964437,5289008.51
"116","Cash Receipts","Nonrevenues","Transfers from Special Fund for Economic Uncertainties","Total",2002,NA,NA
"117","Cash Receipts","Nonrevenues","Transfers from Other Funds","Total",2002,3272198,4365483.19
"118","Cash Receipts","Nonrevenues","Transfer from Economic Recovery Fund","Total",2002,NA,NA
"119","Cash Receipts","Nonrevenues","Transfers from Electric Power Fund","Total",2002,6094067,8130176.42
"120","Cash Receipts","Nonrevenues","Miscellaneous","Total",2002,591541,789182.77
"121","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Total",2002,1229072,1639721.42
"122","Cash Disbursements","State Operations","Legislative/Judicial/Executive","Business, Consumer Services and Housing",2002,460492,614348.55
"123","Cash Disbursements","State Operations","Transportation","Total",2002,7048,9402.83
"124","Cash Disbursements","State Operations","Technology, Trade, and Commerce","Total",2002,29281,39064.17
"125","Cash Disbursements","State Operations","Resources","Total",2002,831227,1108951.08
