PCT_Teacher,Percentage of teachers
PCT_Admin,Percentage of administrators
PCT_Pupil_Serv,Percentage of pupil services staffs
PCT_female_Tch,Percentage of female teachers
PCT_White_Tch,Percentage of white teachers
PCT_Latino_Tch,Percentage of hispanic or latino teachers
PCT_Black_Tch,Percentage of african american teachers
PCT_Asian_Tch,Percentage of asian teachers
PCT_Master_Plus,Percentage of teachers with masters or higher degrees
PCT_Bachelor_Minus,Percentage of teachers with bachelors or lower degrees
mean_yrs_teach,Total years of teaching experience (school mean)
mean_yrs_in_dist,Total years of service in the district (school mean)
PCT_New_teach,Percentage of novice teachers
PCT_New_in_dist,Percentage of teachers new in the district
PCT_Longterm_Sub,Percentage of longterm substitute or temporary employee
PCT_Probationary,Percentage of probationary teachers
PCT_Tenured,Percentage of tenured teachers
PCT_Other,Percentage of teachers with other employment status
mean_FTE_teacher,School average of full time equivalent teaching duties
PCT_Full_Cred_Total,Percentage of teachers with full credential - Total
PCT_Univ_Int_Total,Percentage of teachers with university intern credential - Total
PCT_Dist_Int_Total,Percentage of teachers with district intern credential - Total
PCT_Emergency_Total,Percentage of teachers with emergency permits - Total
PCT_Waiver_Total,Percentage of teachers with waiver credential - Total
MN_Period_Total,Average number of class periods assigned to teachers - Total
MN_Period_ELA,Average number of class periods assigned to teachers - ELA
MN_Period_Math,Average number of class periods assigned to teachers - Math
MN_Period_Social,Average number of class periods assigned to teachers - Social Science
MN_Period_Science,Average number of class periods assigned to teachers - Science
MN_Period_FoLan,Average number of class periods assigned to teachers - Foreign Languages
MN_Period_CTE,Average number of class periods assigned to teachers - CTE
MN_Period_Other,Average number of class periods assigned to teachers - Other Inst Assign
MN_Period_SelfCon,Average number of class periods assigned to teachers - Self-contained class
PCT_Apprvd_Total,Percentage of A-G approved classes - Total
PCT_Apprvd_ELA,Percentage of A-G approved classes - ELA
PCT_Apprvd_Math,Percentage of A-G approved classes - Math
PCT_Apprvd_Social,Percentage of A-G approved classes - Social Science
PCT_Apprvd_Science,Percentage of A-G approved classes - Science
