"","fit3.coefficients"
"(Intercept)",1232.4125240863
"Fiscalyear2003",-1399.96688691998
"Fiscalyear2004",-1282.68482044079
"Fiscalyear2005",-1023.83728035218
"Fiscalyear2006",-708.669933649105
"Fiscalyear2007",-1319.88777639635
"Fiscalyear2008",-1359.35861518902
"Fiscalyear2009",-1494.04550570385
"Fiscalyear2010",-1646.8591244076
"Fiscalyear2011",-1353.40338903837
"Fiscalyear2012",-735.356741423382
"Fiscalyear2014",154.151557884568
"Fiscalyear2015",2244.11510310925
"Fiscalyear2016",2663.05782090385
